tx_id,timestamp,amount,region,wallet_type
C0000056,2025-09-27 10:03:00.882157,1249.48,East,retail
C0000057,2025-09-27 10:09:00.882157,2119.43,East,retail
C0000058,2025-09-27 10:16:00.882157,1458.86,East,merchant
C0000059,2025-09-27 10:22:00.882157,1737.43,South,retail
C0000060,2025-09-27 10:29:00.882157,904.88,South,retail
C0000061,2025-09-27 10:35:00.882157,3250.77,Central,retail
C0000062,2025-09-27 10:42:00.882157,2190.16,Central,retail
C0000063,2025-09-27 10:48:00.882157,2627.02,North,retail
C0000064,2025-09-27 10:55:00.882157,2077.99,West,retail
C0000065,2025-09-27 11:01:00.882157,1259.63,South,retail
C0000066,2025-09-27 11:08:00.882157,1500.17,South,govt
C0000067,2025-09-27 11:14:00.882157,761.98,North,retail
C0000068,2025-09-27 11:21:00.882157,4799.18,East,merchant
C0000069,2025-09-27 11:27:00.882157,443.49,North,merchant
C0000070,2025-09-27 11:34:00.882157,2270.33,North,merchant
C0000071,2025-09-27 11:40:00.882157,1492.97,North,merchant
C0000072,2025-09-27 11:47:00.882157,3578.32,South,retail
C0000073,2025-09-27 11:53:00.882157,1830.1,South,merchant
C0000074,2025-09-27 12:00:00.882157,1511.45,North,p2p
C0000075,2025-09-27 12:06:00.882157,1348.72,West,retail
C0000076,2025-09-27 12:13:00.882157,764.06,South,govt
C0000077,2025-09-27 12:19:00.882157,1900.74,North,p2p
C0000078,2025-09-27 12:26:00.882157,959.72,North,merchant
C0000079,2025-09-27 12:32:00.882157,895.83,North,retail
C0000080,2025-09-27 12:39:00.882157,682.07,South,govt
C0000081,2025-09-27 12:45:00.882157,1913.49,South,merchant
C0000082,2025-09-27 12:52:00.882157,2491.6,East,govt
C0000083,2025-09-27 12:58:00.882157,3689.04,North,retail
C0000084,2025-09-27 13:05:00.882157,2223.63,East,p2p
C0000085,2025-09-27 13:11:00.882157,2137.46,West,retail
C0000086,2025-09-27 13:18:00.882157,1311.8,Central,retail
C0000087,2025-09-27 13:24:00.882157,1187.3,North,retail
C0000088,2025-09-27 13:31:00.882157,1230.04,Central,govt
C0000089,2025-09-27 13:37:00.882157,6985.67,Central,merchant
C0000090,2025-09-27 13:44:00.882157,3564.44,West,merchant
C0000091,2025-09-27 13:50:00.882157,3654.25,South,retail
C0000092,2025-09-27 13:57:00.882157,2611.75,North,retail
C0000093,2025-09-27 14:03:00.882157,1321.8,West,merchant
C0000094,2025-09-27 14:10:00.882157,2420.05,East,retail
C0000095,2025-09-27 14:16:00.882157,1467.75,South,p2p
C0000096,2025-09-27 14:23:00.882157,2141.98,West,retail
C0000097,2025-09-27 14:29:00.882157,2425.0,East,retail
C0000098,2025-09-27 14:36:00.882157,3115.95,Central,govt
C0000099,2025-09-27 14:42:00.882157,3436.85,South,merchant
C0000100,2025-09-27 14:49:00.882157,3287.07,North,retail
C0000101,2025-09-27 14:55:00.882157,2497.94,West,retail
C0000102,2025-09-27 15:02:00.882157,2187.59,East,retail
C0000103,2025-09-27 15:08:00.882157,4950.09,North,retail
C0000104,2025-09-27 15:15:00.882157,1904.14,Central,retail
C0000105,2025-09-27 15:21:00.882157,2861.23,West,merchant
C0000106,2025-09-27 15:28:00.882157,2772.68,Central,p2p
C0000107,2025-09-27 15:34:00.882157,1899.99,North,retail
C0000108,2025-09-27 15:41:00.882157,751.91,East,merchant
C0000109,2025-09-27 15:47:00.882157,2059.39,West,retail
C0000110,2025-09-27 15:54:00.882157,786.23,North,merchant
C0000111,2025-09-27 16:00:00.882157,3825.13,North,retail
C0000112,2025-09-27 16:07:00.882157,4039.12,East,retail
C0000113,2025-09-27 16:13:00.882157,1395.15,North,retail
C0000114,2025-09-27 16:20:00.882157,951.65,North,retail
C0000115,2025-09-27 16:26:00.882157,1161.53,North,merchant
C0000116,2025-09-27 16:33:00.882157,3050.31,North,merchant
C0000117,2025-09-27 16:39:00.882157,1179.86,West,retail
C0000118,2025-09-27 16:46:00.882157,975.68,East,retail
C0000119,2025-09-27 16:52:00.882157,2406.43,East,govt
C0000120,2025-09-27 16:59:00.882157,2403.86,Central,merchant
C0000121,2025-09-27 17:05:00.882157,3382.59,Central,govt
C0000122,2025-09-27 17:12:00.882157,3697.98,Central,retail
C0000123,2025-09-27 17:18:00.882157,3206.83,West,merchant
C0000124,2025-09-27 17:25:00.882157,7941.99,South,retail
C0000125,2025-09-27 17:31:00.882157,6471.15,East,govt
C0000126,2025-09-27 17:38:00.882157,1832.31,North,merchant
C0000127,2025-09-27 17:44:00.882157,3836.5,East,retail
C0000128,2025-09-27 17:51:00.882157,6373.3,North,merchant
C0000129,2025-09-27 17:57:00.882157,2013.05,West,merchant
C0000130,2025-09-27 18:04:00.882157,1461.23,West,merchant
C0000131,2025-09-27 18:10:00.882157,2257.59,Central,p2p
C0000132,2025-09-27 18:17:00.882157,2282.98,East,p2p
C0000133,2025-09-27 18:23:00.882157,513.13,South,govt
C0000134,2025-09-27 18:30:00.882157,1552.0,South,retail
C0000135,2025-09-27 18:36:00.882157,2097.46,Central,retail
C0000136,2025-09-27 18:43:00.882157,4140.86,Central,p2p
C0000137,2025-09-27 18:49:00.882157,1062.86,East,merchant
C0000138,2025-09-27 18:56:00.882157,3134.92,East,merchant
C0000139,2025-09-27 19:02:00.882157,397.21,South,retail
C0000140,2025-09-27 19:09:00.882157,3024.31,North,p2p
C0000141,2025-09-27 19:15:00.882157,2226.31,East,retail
C0000142,2025-09-27 19:22:00.882157,959.17,South,retail
C0000143,2025-09-27 19:28:00.882157,3213.6,Central,merchant
C0000144,2025-09-27 19:35:00.882157,5285.81,North,retail
C0000145,2025-09-27 19:41:00.882157,1413.35,North,retail
C0000146,2025-09-27 19:48:00.882157,2756.4,East,retail
C0000147,2025-09-27 19:54:00.882157,3147.61,West,retail
C0000148,2025-09-27 20:01:00.882157,3144.23,West,retail
C0000149,2025-09-27 20:07:00.882157,2132.33,West,merchant
C0000150,2025-09-27 20:14:00.882157,1419.22,North,retail
C0000151,2025-09-27 20:20:00.882157,2644.92,North,retail
C0000152,2025-09-27 20:27:00.882157,2520.32,North,p2p
C0000153,2025-09-27 20:33:00.882157,2034.1,North,merchant
C0000154,2025-09-27 20:40:00.882157,3989.84,Central,retail
C0000155,2025-09-27 20:46:00.882157,1125.63,North,retail
C0000156,2025-09-27 20:53:00.882157,1613.64,West,govt
C0000157,2025-09-27 20:59:00.882157,2578.74,East,retail
C0000158,2025-09-27 21:06:00.882157,723.31,North,retail
C0000159,2025-09-27 21:12:00.882157,1239.36,East,merchant
C0000160,2025-09-27 21:19:00.882157,214.89,Central,retail
C0000161,2025-09-27 21:25:00.882157,1747.68,South,retail
C0000162,2025-09-27 21:32:00.882157,1457.83,North,retail
C0000163,2025-09-27 21:38:00.882157,1805.44,Central,govt
C0000164,2025-09-27 21:45:00.882157,1004.3,North,merchant
C0000165,2025-09-27 21:51:00.882157,2691.06,West,merchant
C0000166,2025-09-27 21:58:00.882157,766.05,East,retail
C0000167,2025-09-27 22:04:00.882157,404.07,North,merchant
C0000168,2025-09-27 22:11:00.882157,3875.12,North,retail
C0000169,2025-09-27 22:17:00.882157,3245.69,North,retail
C0000170,2025-09-27 22:24:00.882157,2494.37,Central,govt
C0000171,2025-09-27 22:30:00.882157,1452.83,East,govt
C0000172,2025-09-27 22:37:00.882157,3574.14,Central,merchant
C0000173,2025-09-27 22:43:00.882157,1415.38,South,retail
C0000174,2025-09-27 22:50:00.882157,3651.28,Central,retail
C0000175,2025-09-27 22:56:00.882157,2913.47,West,merchant
C0000176,2025-09-27 23:03:00.882157,4233.69,East,retail
C0000177,2025-09-27 23:09:00.882157,718.77,West,retail
C0000178,2025-09-27 23:16:00.882157,2921.49,East,retail
C0000179,2025-09-27 23:22:00.882157,649.81,South,merchant
C0000180,2025-09-27 23:29:00.882157,917.24,South,merchant
C0000181,2025-09-27 23:35:00.882157,2118.89,North,retail
C0000182,2025-09-27 23:42:00.882157,1575.91,East,merchant
C0000183,2025-09-27 23:48:00.882157,3512.12,South,govt
C0000184,2025-09-27 23:55:00.882157,839.15,East,govt
C0000185,2025-09-28 00:01:00.882157,1429.23,East,retail
C0000186,2025-09-28 00:08:00.882157,1174.11,West,retail
C0000187,2025-09-28 00:14:00.882157,3432.22,East,retail
C0000188,2025-09-28 00:21:00.882157,3349.45,South,retail
C0000189,2025-09-28 00:27:00.882157,2063.69,South,govt
C0000190,2025-09-28 00:34:00.882157,3183.0,North,p2p
C0000191,2025-09-28 00:40:00.882157,4012.91,West,retail
C0000192,2025-09-28 00:47:00.882157,4086.61,North,retail
C0000193,2025-09-28 00:53:00.882157,2161.08,East,govt
C0000194,2025-09-28 01:00:00.882157,3694.14,North,retail
C0000195,2025-09-28 01:06:00.882157,3025.52,South,retail
C0000196,2025-09-28 01:13:00.882157,523.53,East,retail
C0000197,2025-09-28 01:19:00.882157,723.67,South,merchant
C0000198,2025-09-28 01:26:00.882157,5012.58,South,retail
C0000199,2025-09-28 01:32:00.882157,867.62,West,merchant
C0000200,2025-09-28 01:39:00.882157,4684.3,North,retail
C0000201,2025-09-28 01:45:00.882157,1175.76,South,merchant
C0000202,2025-09-28 01:52:00.882157,5480.56,East,retail
C0000203,2025-09-28 01:58:00.882157,698.91,East,merchant
C0000204,2025-09-28 02:05:00.882157,1492.96,North,retail
C0000205,2025-09-28 02:11:00.882157,2051.07,South,merchant
C0000206,2025-09-28 02:18:00.882157,4891.19,East,merchant
C0000207,2025-09-28 02:24:00.882157,4931.16,North,retail
C0000208,2025-09-28 02:31:00.882157,1023.46,South,p2p
C0000209,2025-09-28 02:37:00.882157,6764.25,West,govt
C0000210,2025-09-28 02:44:00.882157,1378.97,Central,govt
C0000211,2025-09-28 02:50:00.882157,5760.42,East,retail
C0000212,2025-09-28 02:57:00.882157,2657.31,North,merchant
C0000213,2025-09-28 03:03:00.882157,532.91,East,retail
C0000214,2025-09-28 03:10:00.882157,4914.95,North,retail
C0000215,2025-09-28 03:16:00.882157,1907.24,West,govt
C0000216,2025-09-28 03:23:00.882157,5168.91,West,retail
C0000217,2025-09-28 03:29:00.882157,3843.87,North,merchant
C0000218,2025-09-28 03:36:00.882157,5632.69,Central,merchant
C0000219,2025-09-28 03:42:00.882157,3084.7,Central,retail
C0000220,2025-09-28 03:49:00.882157,1355.44,East,retail
C0000221,2025-09-28 03:55:00.882157,588.29,East,retail
C0000222,2025-09-28 04:02:00.882157,2901.27,North,retail
C0000223,2025-09-28 04:08:00.882157,653.54,Central,retail
C0000224,2025-09-28 04:15:00.882157,1561.48,South,retail
C0000225,2025-09-28 04:21:00.882157,3895.99,North,retail
C0000226,2025-09-28 04:28:00.882157,5835.1,West,p2p
C0000227,2025-09-28 04:34:00.882157,355.35,East,retail
C0000228,2025-09-28 04:41:00.882157,191.62,North,retail
C0000229,2025-09-28 04:47:00.882157,3908.47,Central,retail
C0000230,2025-09-28 04:54:00.882157,2543.43,East,merchant
C0000231,2025-09-28 05:00:00.882157,1200.58,Central,merchant
C0000232,2025-09-28 05:07:00.882157,3218.84,West,merchant
C0000233,2025-09-28 05:13:00.882157,2649.85,North,merchant
C0000234,2025-09-28 05:20:00.882157,1724.44,East,retail
C0000235,2025-09-28 05:26:00.882157,1319.48,Central,retail
C0000236,2025-09-28 05:33:00.882157,1402.59,Central,retail
C0000237,2025-09-28 05:39:00.882157,1896.55,North,govt
C0000238,2025-09-28 05:46:00.882157,1638.0,West,merchant
C0000239,2025-09-28 05:52:00.882157,6188.05,East,retail
C0000240,2025-09-28 05:59:00.882157,680.49,Central,retail
C0000241,2025-09-28 06:05:00.882157,1978.91,South,retail
C0000242,2025-09-28 06:12:00.882157,2677.91,North,retail
C0000243,2025-09-28 06:18:00.882157,539.44,South,govt
C0000244,2025-09-28 06:25:00.882157,1230.39,East,retail
C0000245,2025-09-28 06:31:00.882157,3897.71,East,govt
C0000246,2025-09-28 06:38:00.882157,1964.93,West,merchant
C0000247,2025-09-28 06:44:00.882157,1777.13,West,retail
C0000248,2025-09-28 06:51:00.882157,1040.98,South,merchant
C0000249,2025-09-28 06:57:00.882157,1406.79,South,merchant
C0000250,2025-09-28 07:04:00.882157,2013.51,West,retail
C0000251,2025-09-28 07:10:00.882157,1531.08,West,retail
C0000252,2025-09-28 07:17:00.882157,605.38,Central,retail
C0000253,2025-09-28 07:23:00.882157,2018.42,East,merchant
C0000254,2025-09-28 07:30:00.882157,144.41,Central,retail
C0000255,2025-09-28 07:36:00.882157,503.3,South,merchant
C0000256,2025-09-28 07:43:00.882157,1465.45,South,p2p
C0000257,2025-09-28 07:49:00.882157,1367.71,Central,retail
C0000258,2025-09-28 07:56:00.882157,348.37,West,retail
C0000259,2025-09-28 08:02:00.882157,2438.72,East,merchant
C0000260,2025-09-28 08:09:00.882157,770.69,West,retail
C0000261,2025-09-28 08:15:00.882157,447.41,South,retail
C0000262,2025-09-28 08:22:00.882157,2274.84,East,retail
C0000263,2025-09-28 08:28:00.882157,2293.77,Central,merchant
C0000264,2025-09-28 08:35:00.882157,2134.33,West,merchant
C0000265,2025-09-28 08:41:00.882157,721.19,North,retail
C0000266,2025-09-28 08:48:00.882157,880.61,West,retail
C0000267,2025-09-28 08:54:00.882157,1364.52,East,retail
C0000268,2025-09-28 09:01:00.882157,1538.31,North,p2p
C0000269,2025-09-28 09:07:00.882157,1101.47,South,govt
C0000270,2025-09-28 09:14:00.882157,5061.57,Central,retail
C0000271,2025-09-28 09:20:00.882157,2192.09,East,merchant
C0000272,2025-09-28 09:27:00.882157,2971.33,East,retail
C0000273,2025-09-28 09:33:00.882157,3574.97,North,p2p
C0000274,2025-09-28 09:40:00.882157,1592.52,West,retail
C0000275,2025-09-28 09:46:00.882157,1195.32,East,retail
C0000276,2025-09-28 09:53:00.882157,2115.09,East,retail
C0000277,2025-09-28 09:59:00.882157,3252.91,South,retail
C0000278,2025-09-28 10:06:00.882157,1355.79,South,merchant
C0000279,2025-09-28 10:12:00.882157,851.69,East,retail
C0000280,2025-09-28 10:19:00.882157,1783.62,East,p2p
C0000281,2025-09-28 10:25:00.882157,2286.62,North,retail
C0000282,2025-09-28 10:32:00.882157,986.02,Central,p2p
C0000283,2025-09-28 10:38:00.882157,3759.88,North,retail
C0000284,2025-09-28 10:45:00.882157,3235.3,East,merchant
C0000285,2025-09-28 10:51:00.882157,442.08,West,retail
C0000286,2025-09-28 10:58:00.882157,2096.5,South,merchant
C0000287,2025-09-28 11:04:00.882157,1701.17,West,retail
C0000288,2025-09-28 11:11:00.882157,1433.08,West,retail
C0000289,2025-09-28 11:17:00.882157,1452.55,North,retail
C0000290,2025-09-28 11:24:00.882157,5054.4,North,retail
C0000291,2025-09-28 11:30:00.882157,9745.54,West,merchant
C0000292,2025-09-28 11:37:00.882157,1114.59,South,p2p
C0000293,2025-09-28 11:43:00.882157,2092.9,Central,merchant
C0000294,2025-09-28 11:50:00.882157,471.49,North,retail
C0000295,2025-09-28 11:56:00.882157,788.74,South,retail
C0000296,2025-09-28 12:03:00.882157,927.02,North,retail
C0000297,2025-09-28 12:09:00.882157,642.15,West,retail
C0000298,2025-09-28 12:16:00.882157,2321.05,North,retail
C0000299,2025-09-28 12:22:00.882157,1928.76,West,retail
C0000300,2025-09-28 12:29:00.882157,1913.14,South,retail
C0000301,2025-09-28 12:35:00.882157,8379.71,North,retail
C0000302,2025-09-28 12:42:00.882157,3134.6,West,merchant
C0000303,2025-09-28 12:48:00.882157,1271.54,East,retail
C0000304,2025-09-28 12:55:00.882157,2255.69,West,retail
C0000305,2025-09-28 13:01:00.882157,2943.46,Central,retail
C0000306,2025-09-28 13:08:00.882157,1443.69,Central,merchant
C0000307,2025-09-28 13:14:00.882157,1105.72,East,merchant
C0000308,2025-09-28 13:21:00.882157,1620.48,North,retail
C0000309,2025-09-28 13:27:00.882157,3079.55,Central,retail
C0000310,2025-09-28 13:34:00.882157,482.54,South,retail
C0000311,2025-09-28 13:40:00.882157,853.41,North,p2p
C0000312,2025-09-28 13:47:00.882157,1641.35,South,retail
C0000313,2025-09-28 13:53:00.882157,3229.69,North,retail
C0000314,2025-09-28 14:00:00.882157,1995.93,East,retail
C0000315,2025-09-28 14:06:00.882157,1417.52,East,merchant
C0000316,2025-09-28 14:13:00.882157,493.38,South,p2p
C0000317,2025-09-28 14:19:00.882157,1053.04,East,p2p
C0000318,2025-09-28 14:26:00.882157,1455.6,West,retail
C0000319,2025-09-28 14:32:00.882157,2644.54,North,retail
C0000320,2025-09-28 14:39:00.882157,2201.51,West,retail
C0000321,2025-09-28 14:45:00.882157,3558.84,Central,retail
C0000322,2025-09-28 14:52:00.882157,3291.91,East,retail
C0000323,2025-09-28 14:58:00.882157,802.71,South,retail
C0000324,2025-09-28 15:05:00.882157,1133.03,East,merchant
C0000325,2025-09-28 15:11:00.882157,1637.78,South,merchant
C0000326,2025-09-28 15:18:00.882157,2122.52,East,retail
C0000327,2025-09-28 15:24:00.882157,1419.06,East,govt
C0000328,2025-09-28 15:31:00.882157,1206.71,South,merchant
C0000329,2025-09-28 15:37:00.882157,1962.97,West,retail
C0000330,2025-09-28 15:44:00.882157,2292.37,Central,govt
C0000331,2025-09-28 15:50:00.882157,5261.54,East,p2p
C0000332,2025-09-28 15:57:00.882157,613.22,West,p2p
C0000333,2025-09-28 16:03:00.882157,3542.53,Central,retail
C0000334,2025-09-28 16:10:00.882157,1788.2,West,retail
C0000335,2025-09-28 16:16:00.882157,2135.69,Central,merchant
C0000336,2025-09-28 16:23:00.882157,1440.8,Central,govt
C0000337,2025-09-28 16:29:00.882157,3074.89,West,merchant
C0000338,2025-09-28 16:36:00.882157,3391.43,South,merchant
C0000339,2025-09-28 16:42:00.882157,1179.2,East,p2p
C0000340,2025-09-28 16:49:00.882157,518.91,Central,retail
C0000341,2025-09-28 16:55:00.882157,1660.05,West,merchant
C0000342,2025-09-28 17:02:00.882157,509.4,North,merchant
C0000343,2025-09-28 17:08:00.882157,1077.52,North,retail
C0000344,2025-09-28 17:15:00.882157,990.76,West,retail
C0000345,2025-09-28 17:21:00.882157,1324.41,South,govt
C0000346,2025-09-28 17:28:00.882157,4251.27,East,retail
C0000347,2025-09-28 17:34:00.882157,2288.6,Central,retail
C0000348,2025-09-28 17:41:00.882157,3800.75,East,p2p
C0000349,2025-09-28 17:47:00.882157,1068.84,West,retail
C0000350,2025-09-28 17:54:00.882157,2348.51,North,retail
C0000351,2025-09-28 18:00:00.882157,2442.21,Central,merchant
C0000352,2025-09-28 18:07:00.882157,1263.59,East,retail
C0000353,2025-09-28 18:13:00.882157,1525.03,East,retail
C0000354,2025-09-28 18:20:00.882157,1535.26,Central,retail
C0000355,2025-09-28 18:26:00.882157,1934.6,South,retail
C0000356,2025-09-28 18:33:00.882157,1289.79,West,merchant
C0000357,2025-09-28 18:39:00.882157,3381.21,North,p2p
C0000358,2025-09-28 18:46:00.882157,227.84,East,merchant
C0000359,2025-09-28 18:52:00.882157,938.33,North,merchant
C0000360,2025-09-28 18:59:00.882157,1286.61,South,retail
C0000361,2025-09-28 19:05:00.882157,3534.8,North,merchant
C0000362,2025-09-28 19:12:00.882157,2926.26,East,retail
C0000363,2025-09-28 19:18:00.882157,3296.48,South,retail
C0000364,2025-09-28 19:25:00.882157,2487.65,East,p2p
C0000365,2025-09-28 19:31:00.882157,871.67,West,merchant
C0000366,2025-09-28 19:38:00.882157,3708.3,South,p2p
C0000367,2025-09-28 19:44:00.882157,1321.65,Central,retail
C0000368,2025-09-28 19:51:00.882157,2386.9,North,p2p
C0000369,2025-09-28 19:57:00.882157,1418.72,Central,retail
C0000370,2025-09-28 20:04:00.882157,1538.44,West,retail
C0000371,2025-09-28 20:10:00.882157,1188.49,North,merchant
C0000372,2025-09-28 20:17:00.882157,1017.86,North,retail
C0000373,2025-09-28 20:23:00.882157,1995.2,South,p2p
C0000374,2025-09-28 20:30:00.882157,4391.95,North,p2p
C0000375,2025-09-28 20:36:00.882157,2011.83,North,retail
C0000376,2025-09-28 20:43:00.882157,6211.47,North,retail
C0000377,2025-09-28 20:49:00.882157,5277.7,Central,merchant
C0000378,2025-09-28 20:56:00.882157,899.77,Central,retail
C0000379,2025-09-28 21:02:00.882157,1984.89,West,retail
C0000380,2025-09-28 21:09:00.882157,1165.23,South,govt
C0000381,2025-09-28 21:15:00.882157,1475.74,North,retail
C0000382,2025-09-28 21:22:00.882157,989.69,North,retail
C0000383,2025-09-28 21:28:00.882157,1669.44,South,merchant
C0000384,2025-09-28 21:35:00.882157,1034.12,Central,retail
C0000385,2025-09-28 21:41:00.882157,4250.67,South,p2p
C0000386,2025-09-28 21:48:00.882157,2517.41,East,retail
C0000387,2025-09-28 21:54:00.882157,4972.97,Central,govt
C0000388,2025-09-28 22:01:00.882157,1254.59,West,merchant
C0000389,2025-09-28 22:07:00.882157,2691.03,Central,p2p
C0000390,2025-09-28 22:14:00.882157,686.02,North,govt
C0000391,2025-09-28 22:20:00.882157,3568.49,South,merchant
C0000392,2025-09-28 22:27:00.882157,2007.61,North,merchant
C0000393,2025-09-28 22:33:00.882157,1355.52,South,merchant
C0000394,2025-09-28 22:40:00.882157,4495.22,Central,p2p
C0000395,2025-09-28 22:46:00.882157,451.7,West,merchant
C0000396,2025-09-28 22:53:00.882157,1083.66,Central,retail
C0000397,2025-09-28 22:59:00.882157,1549.5,West,retail
C0000398,2025-09-28 23:06:00.882157,900.92,West,merchant
C0000399,2025-09-28 23:12:00.882157,9203.07,East,merchant
C0000400,2025-09-28 23:19:00.882157,4436.18,Central,merchant
C0000401,2025-09-28 23:25:00.882157,999.36,South,merchant
C0000402,2025-09-28 23:32:00.882157,2607.79,East,merchant
C0000403,2025-09-28 23:38:00.882157,820.17,West,retail
C0000404,2025-09-28 23:45:00.882157,241.0,South,govt
C0000405,2025-09-28 23:51:00.882157,4530.36,West,retail
C0000406,2025-09-28 23:58:00.882157,2046.55,East,merchant
C0000407,2025-09-29 00:04:00.882157,1704.25,North,merchant
C0000408,2025-09-29 00:11:00.882157,638.9,West,merchant
C0000409,2025-09-29 00:17:00.882157,1606.19,North,merchant
C0000410,2025-09-29 00:24:00.882157,3047.84,West,retail
C0000411,2025-09-29 00:30:00.882157,2317.92,East,govt
C0000412,2025-09-29 00:37:00.882157,1791.44,North,merchant
C0000413,2025-09-29 00:43:00.882157,480.55,West,retail
C0000414,2025-09-29 00:50:00.882157,8449.27,East,retail
C0000415,2025-09-29 00:56:00.882157,1494.4,Central,retail
C0000416,2025-09-29 01:03:00.882157,854.36,East,merchant
C0000417,2025-09-29 01:09:00.882157,730.4,South,retail
C0000418,2025-09-29 01:16:00.882157,2701.68,West,merchant
C0000419,2025-09-29 01:22:00.882157,517.52,East,merchant
C0000420,2025-09-29 01:29:00.882157,5732.27,North,merchant
C0000421,2025-09-29 01:35:00.882157,837.01,North,retail
C0000422,2025-09-29 01:42:00.882157,2363.12,West,retail
C0000423,2025-09-29 01:48:00.882157,2486.04,North,retail
C0000424,2025-09-29 01:55:00.882157,940.63,South,merchant
C0000425,2025-09-29 02:01:00.882157,687.97,East,retail
C0000426,2025-09-29 02:08:00.882157,2294.37,West,govt
C0000427,2025-09-29 02:14:00.882157,1630.62,East,retail
C0000428,2025-09-29 02:21:00.882157,910.74,North,merchant
C0000429,2025-09-29 02:27:00.882157,2560.18,North,retail
C0000430,2025-09-29 02:34:00.882157,1566.37,East,merchant
C0000431,2025-09-29 02:40:00.882157,1515.12,West,retail
C0000432,2025-09-29 02:47:00.882157,3704.32,Central,retail
C0000433,2025-09-29 02:53:00.882157,3717.23,West,p2p
C0000434,2025-09-29 03:00:00.882157,2206.22,East,retail
C0000435,2025-09-29 03:06:00.882157,489.56,East,retail
C0000436,2025-09-29 03:13:00.882157,1577.73,North,merchant
C0000437,2025-09-29 03:19:00.882157,1359.59,Central,retail
C0000438,2025-09-29 03:26:00.882157,3871.85,North,retail
C0000439,2025-09-29 03:32:00.882157,1743.96,South,retail
C0000440,2025-09-29 03:39:00.882157,766.12,North,retail
C0000441,2025-09-29 03:45:00.882157,1739.12,East,merchant
C0000442,2025-09-29 03:52:00.882157,1524.12,South,retail
C0000443,2025-09-29 03:58:00.882157,6466.48,West,p2p
C0000444,2025-09-29 04:05:00.882157,1266.99,Central,retail
