review_id,date,product,department,rating,review_text,sentiment
R0000043,2025-10-14 03:59:00.882157,NetBanking,Contact Center,4,easy to use,positive
R0000044,2025-05-23 03:59:00.882157,Mortgage,Cards,5,excellent service,positive
R0000045,2025-07-18 03:59:00.882157,Credit Card,Contact Center,3,average experience,neutral
R0000046,2025-06-16 03:59:00.882157,Mortgage,App,2,bugs in app,negative
R0000047,2025-08-04 03:59:00.882157,Mortgage,Contact Center,1,app keeps crashing,negative
R0000048,2025-06-23 03:59:00.882157,Insurance,Branch,4,quick approval,positive
R0000049,2025-08-21 03:59:00.882157,Mortgage,App,1,long wait times,negative
R0000050,2025-06-27 03:59:00.882157,Mobile App,Contact Center,4,helpful staff,positive
R0000051,2025-06-30 03:59:00.882157,Mobile App,Branch,4,quick approval,positive
R0000052,2025-09-11 03:59:00.882157,Mortgage,Branch,2,slow response,negative
R0000053,2025-09-28 03:59:00.882157,NetBanking,Cards,5,super fast,positive
R0000054,2025-06-05 03:59:00.882157,NetBanking,Branch,1,terrible service,negative
R0000055,2025-05-16 03:59:00.882157,NetBanking,App,1,terrible service,negative
R0000056,2025-08-24 03:59:00.882157,Savings,Loans,3,average experience,neutral
R0000057,2025-06-12 03:59:00.882157,Mobile App,Branch,3,works fine,neutral
R0000058,2025-05-27 03:59:00.882157,Credit Card,App,5,super fast,positive
R0000059,2025-09-28 03:59:00.882157,Savings,Loans,5,excellent service,positive
R0000060,2025-07-05 03:59:00.882157,Credit Card,Contact Center,3,okay service,neutral
R0000061,2025-11-08 03:59:00.882157,Mortgage,Branch,3,neutral,neutral
R0000062,2025-07-20 03:59:00.882157,Mortgage,Cards,3,average experience,neutral
R0000063,2025-11-02 03:59:00.882157,Mortgage,Contact Center,5,transparent charges,positive
R0000064,2025-08-01 03:59:00.882157,Mobile App,Cards,3,neutral,neutral
R0000065,2025-06-16 03:59:00.882157,NetBanking,App,2,fees too high,negative
R0000066,2025-07-02 03:59:00.882157,Savings,App,5,problem solved quickly,positive
R0000067,2025-09-28 03:59:00.882157,Credit Card,Loans,3,works fine,neutral
R0000068,2025-05-20 03:59:00.882157,Insurance,Cards,5,love the app,positive
R0000069,2025-11-06 03:59:00.882157,NetBanking,App,2,poor support,negative
R0000070,2025-10-17 03:59:00.882157,Savings,Cards,1,issue unresolved,negative
R0000071,2025-06-18 03:59:00.882157,Credit Card,App,3,okay service,neutral
R0000072,2025-05-18 03:59:00.882157,Insurance,Cards,2,bugs in app,negative
R0000073,2025-05-25 03:59:00.882157,Savings,Loans,4,helpful staff,positive
R0000074,2025-08-25 03:59:00.882157,Savings,Contact Center,5,transparent charges,positive
R0000075,2025-10-20 03:59:00.882157,NetBanking,Branch,1,hidden fees,negative
R0000076,2025-07-14 03:59:00.882157,Mortgage,App,4,helpful staff,positive
R0000077,2025-10-02 03:59:00.882157,NetBanking,Cards,3,average experience,neutral
R0000078,2025-06-23 03:59:00.882157,Savings,App,4,quick approval,positive
R0000079,2025-07-22 03:59:00.882157,NetBanking,App,3,works fine,neutral
R0000080,2025-10-25 03:59:00.882157,NetBanking,Branch,2,slow response,negative
R0000081,2025-06-16 03:59:00.882157,NetBanking,Loans,2,poor support,negative
R0000082,2025-08-15 03:59:00.882157,Credit Card,Branch,1,terrible service,negative
R0000083,2025-09-06 03:59:00.882157,Mortgage,Contact Center,4,nice experience,positive
R0000084,2025-08-23 03:59:00.882157,Savings,Contact Center,5,problem solved quickly,positive
R0000085,2025-10-28 03:59:00.882157,Mortgage,Contact Center,2,poor support,negative
R0000086,2025-10-29 03:59:00.882157,Insurance,Contact Center,2,poor support,negative
R0000087,2025-06-01 03:59:00.882157,Credit Card,Contact Center,3,could be better,neutral
R0000088,2025-06-22 03:59:00.882157,Insurance,Cards,1,issue unresolved,negative
R0000089,2025-08-18 03:59:00.882157,Credit Card,App,1,issue unresolved,negative
R0000090,2025-07-07 03:59:00.882157,Mobile App,Cards,3,neutral,neutral
R0000091,2025-08-27 03:59:00.882157,Insurance,Cards,5,love the app,positive
R0000092,2025-10-27 03:59:00.882157,Mobile App,Branch,2,confusing process,negative
R0000093,2025-06-20 03:59:00.882157,NetBanking,Branch,1,terrible service,negative
R0000094,2025-07-01 03:59:00.882157,Mortgage,Cards,3,average experience,neutral
R0000095,2025-10-06 03:59:00.882157,Insurance,Contact Center,4,helpful staff,positive
R0000096,2025-06-09 03:59:00.882157,Savings,Loans,1,long wait times,negative
R0000097,2025-06-13 03:59:00.882157,NetBanking,App,2,poor support,negative
R0000098,2025-08-08 03:59:00.882157,Credit Card,Contact Center,2,bugs in app,negative
R0000099,2025-07-19 03:59:00.882157,Savings,Branch,2,slow response,negative
R0000100,2025-09-06 03:59:00.882157,Savings,Cards,4,helpful staff,positive
R0000101,2025-10-05 03:59:00.882157,NetBanking,Branch,4,nice experience,positive
R0000102,2025-09-15 03:59:00.882157,Mortgage,App,2,slow response,negative
R0000103,2025-08-13 03:59:00.882157,Mortgage,Cards,3,average experience,neutral
R0000104,2025-10-20 03:59:00.882157,Savings,Loans,3,average experience,neutral
R0000105,2025-10-23 03:59:00.882157,NetBanking,Cards,2,poor support,negative
R0000106,2025-09-06 03:59:00.882157,Savings,Branch,3,could be better,neutral
R0000107,2025-08-21 03:59:00.882157,Savings,Contact Center,5,super fast,positive
R0000108,2025-10-03 03:59:00.882157,Credit Card,Branch,2,confusing process,negative
R0000109,2025-07-09 03:59:00.882157,Mortgage,App,1,terrible service,negative
R0000110,2025-11-11 03:59:00.882157,Insurance,Loans,5,transparent charges,positive
R0000111,2025-06-16 03:59:00.882157,Mortgage,App,5,transparent charges,positive
R0000112,2025-09-23 03:59:00.882157,Savings,App,3,neutral,neutral
R0000113,2025-11-02 03:59:00.882157,Insurance,Contact Center,5,super fast,positive
R0000114,2025-10-13 03:59:00.882157,NetBanking,Branch,4,good service,positive
R0000115,2025-10-14 03:59:00.882157,NetBanking,Contact Center,3,average experience,neutral
R0000116,2025-11-09 03:59:00.882157,Insurance,Contact Center,3,could be better,neutral
R0000117,2025-06-25 03:59:00.882157,Insurance,Cards,4,easy to use,positive
R0000118,2025-08-11 03:59:00.882157,Mortgage,Branch,5,problem solved quickly,positive
R0000119,2025-09-29 03:59:00.882157,Savings,Cards,3,could be better,neutral
R0000120,2025-08-27 03:59:00.882157,NetBanking,Branch,3,neutral,neutral
R0000121,2025-11-09 03:59:00.882157,NetBanking,Contact Center,1,long wait times,negative
R0000122,2025-06-19 03:59:00.882157,NetBanking,Loans,3,could be better,neutral
R0000123,2025-09-15 03:59:00.882157,Savings,Cards,3,could be better,neutral
R0000124,2025-09-01 03:59:00.882157,Mobile App,Branch,4,easy to use,positive
R0000125,2025-05-29 03:59:00.882157,Credit Card,Cards,3,okay service,neutral
R0000126,2025-09-16 03:59:00.882157,Mortgage,Branch,3,average experience,neutral
R0000127,2025-06-22 03:59:00.882157,NetBanking,Cards,5,problem solved quickly,positive
R0000128,2025-10-26 03:59:00.882157,Mobile App,Loans,3,could be better,neutral
R0000129,2025-08-07 03:59:00.882157,Mobile App,Branch,2,slow response,negative
R0000130,2025-10-27 03:59:00.882157,NetBanking,Loans,2,fees too high,negative
R0000131,2025-10-01 03:59:00.882157,Mobile App,Loans,1,app keeps crashing,negative
R0000132,2025-08-04 03:59:00.882157,Mortgage,Loans,2,confusing process,negative
R0000133,2025-09-09 03:59:00.882157,Credit Card,Cards,2,confusing process,negative
R0000134,2025-07-15 03:59:00.882157,Insurance,App,4,quick approval,positive
R0000135,2025-11-08 03:59:00.882157,Credit Card,Contact Center,4,good service,positive
R0000136,2025-06-15 03:59:00.882157,Credit Card,App,1,app keeps crashing,negative
R0000137,2025-07-18 03:59:00.882157,NetBanking,App,4,nice experience,positive
R0000138,2025-07-13 03:59:00.882157,NetBanking,Cards,3,works fine,neutral
R0000139,2025-09-03 03:59:00.882157,Savings,App,1,hidden fees,negative
R0000140,2025-07-15 03:59:00.882157,Mobile App,App,3,works fine,neutral
R0000141,2025-06-22 03:59:00.882157,Mobile App,Cards,5,love the app,positive
R0000142,2025-10-14 03:59:00.882157,Insurance,Contact Center,4,easy to use,positive
R0000143,2025-07-20 03:59:00.882157,Savings,Contact Center,3,works fine,neutral
R0000144,2025-08-21 03:59:00.882157,Insurance,App,5,transparent charges,positive
R0000145,2025-09-06 03:59:00.882157,NetBanking,Contact Center,4,good service,positive
R0000146,2025-10-11 03:59:00.882157,Mortgage,Cards,4,nice experience,positive
R0000147,2025-10-10 03:59:00.882157,Savings,Loans,1,terrible service,negative
R0000148,2025-08-05 03:59:00.882157,Mobile App,Branch,2,poor support,negative
R0000149,2025-08-21 03:59:00.882157,Insurance,Cards,2,confusing process,negative
R0000150,2025-11-11 03:59:00.882157,Savings,Contact Center,3,neutral,neutral
R0000151,2025-08-24 03:59:00.882157,Savings,App,1,long wait times,negative
R0000152,2025-09-08 03:59:00.882157,Credit Card,Contact Center,2,confusing process,negative
R0000153,2025-06-11 03:59:00.882157,Savings,App,3,works fine,neutral
R0000154,2025-05-25 03:59:00.882157,Savings,Branch,3,could be better,neutral
R0000155,2025-10-16 03:59:00.882157,Mobile App,Loans,2,fees too high,negative
R0000156,2025-09-19 03:59:00.882157,Mortgage,Loans,5,excellent service,positive
R0000157,2025-09-27 03:59:00.882157,Insurance,Cards,3,average experience,neutral
R0000158,2025-10-18 03:59:00.882157,Mortgage,Branch,2,confusing process,negative
R0000159,2025-10-24 03:59:00.882157,Savings,Cards,5,transparent charges,positive
R0000160,2025-06-28 03:59:00.882157,Mobile App,Branch,2,confusing process,negative
R0000161,2025-06-07 03:59:00.882157,Mobile App,Branch,3,works fine,neutral
R0000162,2025-05-23 03:59:00.882157,Mobile App,Loans,5,excellent service,positive
R0000163,2025-06-26 03:59:00.882157,Mobile App,Branch,3,could be better,neutral
R0000164,2025-06-02 03:59:00.882157,Credit Card,Branch,2,bugs in app,negative
R0000165,2025-06-20 03:59:00.882157,Savings,Contact Center,1,long wait times,negative
R0000166,2025-09-15 03:59:00.882157,Credit Card,Branch,1,hidden fees,negative
R0000167,2025-10-15 03:59:00.882157,Credit Card,Loans,2,poor support,negative
R0000168,2025-08-06 03:59:00.882157,Savings,Loans,4,easy to use,positive
R0000169,2025-07-05 03:59:00.882157,Mobile App,Loans,5,problem solved quickly,positive
R0000170,2025-08-27 03:59:00.882157,Insurance,App,1,terrible service,negative
R0000171,2025-10-22 03:59:00.882157,Mobile App,Cards,2,poor support,negative
R0000172,2025-05-26 03:59:00.882157,Mobile App,Branch,4,helpful staff,positive
R0000173,2025-07-18 03:59:00.882157,Credit Card,App,3,works fine,neutral
R0000174,2025-07-13 03:59:00.882157,Mortgage,Loans,3,average experience,neutral
R0000175,2025-08-17 03:59:00.882157,Mobile App,Loans,3,could be better,neutral
R0000176,2025-09-06 03:59:00.882157,Savings,Loans,2,bugs in app,negative
R0000177,2025-10-24 03:59:00.882157,Savings,Branch,5,love the app,positive
R0000178,2025-11-07 03:59:00.882157,Savings,App,2,poor support,negative
R0000179,2025-10-09 03:59:00.882157,Credit Card,App,4,nice experience,positive
R0000180,2025-09-22 03:59:00.882157,Insurance,Contact Center,5,love the app,positive
R0000181,2025-05-26 03:59:00.882157,Insurance,Cards,3,works fine,neutral
R0000182,2025-09-30 03:59:00.882157,Insurance,Loans,1,app keeps crashing,negative
R0000183,2025-10-10 03:59:00.882157,Mobile App,Contact Center,1,long wait times,negative
R0000184,2025-08-31 03:59:00.882157,Mobile App,Branch,1,app keeps crashing,negative
R0000185,2025-09-06 03:59:00.882157,Mortgage,Contact Center,4,helpful staff,positive
R0000186,2025-08-10 03:59:00.882157,Mortgage,Loans,3,could be better,neutral
R0000187,2025-10-22 03:59:00.882157,Mortgage,Contact Center,1,terrible service,negative
R0000188,2025-06-18 03:59:00.882157,Credit Card,Loans,5,transparent charges,positive
R0000189,2025-07-25 03:59:00.882157,Insurance,Contact Center,1,terrible service,negative
R0000190,2025-09-10 03:59:00.882157,Mobile App,Loans,4,easy to use,positive
R0000191,2025-09-06 03:59:00.882157,Mortgage,App,1,app keeps crashing,negative
R0000192,2025-11-01 03:59:00.882157,Credit Card,Contact Center,4,easy to use,positive
R0000193,2025-06-12 03:59:00.882157,NetBanking,App,4,helpful staff,positive
R0000194,2025-10-04 03:59:00.882157,Mortgage,Cards,5,problem solved quickly,positive
R0000195,2025-07-12 03:59:00.882157,Mobile App,Cards,4,helpful staff,positive
R0000196,2025-09-13 03:59:00.882157,Mortgage,Cards,2,confusing process,negative
R0000197,2025-05-23 03:59:00.882157,Credit Card,Contact Center,3,okay service,neutral
R0000198,2025-11-11 03:59:00.882157,NetBanking,Cards,4,good service,positive
R0000199,2025-07-12 03:59:00.882157,NetBanking,App,2,poor support,negative
R0000200,2025-05-21 03:59:00.882157,Credit Card,App,2,slow response,negative
R0000201,2025-09-23 03:59:00.882157,Mortgage,Cards,1,long wait times,negative
R0000202,2025-07-07 03:59:00.882157,Mobile App,Cards,5,transparent charges,positive
R0000203,2025-09-02 03:59:00.882157,Credit Card,Branch,1,issue unresolved,negative
R0000204,2025-06-20 03:59:00.882157,Insurance,Branch,5,transparent charges,positive
R0000205,2025-10-12 03:59:00.882157,Credit Card,Contact Center,1,hidden fees,negative
R0000206,2025-06-10 03:59:00.882157,Savings,Branch,1,terrible service,negative
R0000207,2025-08-02 03:59:00.882157,Mortgage,App,2,confusing process,negative
R0000208,2025-06-06 03:59:00.882157,Insurance,App,3,works fine,neutral
R0000209,2025-07-23 03:59:00.882157,Mobile App,Contact Center,2,confusing process,negative
R0000210,2025-08-14 03:59:00.882157,Insurance,Contact Center,1,long wait times,negative
R0000211,2025-06-19 03:59:00.882157,NetBanking,Loans,3,average experience,neutral
R0000212,2025-07-27 03:59:00.882157,NetBanking,Branch,1,long wait times,negative
R0000213,2025-08-31 03:59:00.882157,Credit Card,Loans,1,terrible service,negative
R0000214,2025-08-12 03:59:00.882157,Credit Card,Cards,3,okay service,neutral
R0000215,2025-05-20 03:59:00.882157,Savings,App,2,confusing process,negative
R0000216,2025-10-17 03:59:00.882157,NetBanking,Contact Center,4,helpful staff,positive
R0000217,2025-07-18 03:59:00.882157,Insurance,Cards,1,issue unresolved,negative
R0000218,2025-07-23 03:59:00.882157,Credit Card,Loans,4,quick approval,positive
R0000219,2025-08-08 03:59:00.882157,Mobile App,Cards,2,poor support,negative
R0000220,2025-10-14 03:59:00.882157,Mobile App,Cards,4,easy to use,positive
R0000221,2025-08-05 03:59:00.882157,NetBanking,Contact Center,2,poor support,negative
R0000222,2025-09-17 03:59:00.882157,Insurance,Branch,4,helpful staff,positive
R0000223,2025-08-13 03:59:00.882157,Insurance,Contact Center,4,good service,positive
R0000224,2025-09-15 03:59:00.882157,Savings,Contact Center,1,long wait times,negative
R0000225,2025-09-05 03:59:00.882157,Insurance,Branch,3,could be better,neutral
R0000226,2025-10-12 03:59:00.882157,Mobile App,Branch,3,could be better,neutral
R0000227,2025-08-06 03:59:00.882157,Insurance,Contact Center,2,bugs in app,negative
R0000228,2025-05-22 03:59:00.882157,Credit Card,Branch,1,long wait times,negative
R0000229,2025-06-24 03:59:00.882157,Credit Card,App,4,easy to use,positive
R0000230,2025-09-08 03:59:00.882157,NetBanking,Cards,2,confusing process,negative
R0000231,2025-10-09 03:59:00.882157,NetBanking,Cards,3,average experience,neutral
R0000232,2025-10-12 03:59:00.882157,Insurance,Loans,4,helpful staff,positive
R0000233,2025-05-26 03:59:00.882157,Mortgage,Contact Center,1,issue unresolved,negative
R0000234,2025-07-17 03:59:00.882157,Insurance,Cards,2,fees too high,negative
R0000235,2025-09-12 03:59:00.882157,Savings,Cards,5,problem solved quickly,positive
R0000236,2025-08-13 03:59:00.882157,Mobile App,Cards,1,hidden fees,negative
R0000237,2025-08-14 03:59:00.882157,Mobile App,Branch,2,confusing process,negative
R0000238,2025-06-22 03:59:00.882157,Insurance,Branch,4,quick approval,positive
R0000239,2025-10-16 03:59:00.882157,Mortgage,Cards,2,bugs in app,negative
R0000240,2025-10-01 03:59:00.882157,Mobile App,App,1,app keeps crashing,negative
R0000241,2025-09-09 03:59:00.882157,Mortgage,Branch,3,okay service,neutral
R0000242,2025-05-29 03:59:00.882157,Mobile App,Cards,3,works fine,neutral
R0000243,2025-07-15 03:59:00.882157,Credit Card,Loans,1,terrible service,negative
R0000244,2025-07-06 03:59:00.882157,Savings,Cards,4,helpful staff,positive
R0000245,2025-08-10 03:59:00.882157,Mobile App,Contact Center,3,could be better,neutral
R0000246,2025-08-28 03:59:00.882157,Insurance,Cards,5,problem solved quickly,positive
R0000247,2025-11-03 03:59:00.882157,Credit Card,Contact Center,5,love the app,positive
R0000248,2025-10-12 03:59:00.882157,Mortgage,Loans,5,excellent service,positive
R0000249,2025-09-24 03:59:00.882157,Savings,Loans,2,confusing process,negative
R0000250,2025-05-28 03:59:00.882157,Mortgage,App,4,nice experience,positive
R0000251,2025-11-09 03:59:00.882157,Mortgage,Cards,4,good service,positive
R0000252,2025-06-20 03:59:00.882157,Mobile App,Branch,3,works fine,neutral
R0000253,2025-06-03 03:59:00.882157,Credit Card,App,1,app keeps crashing,negative
R0000254,2025-05-26 03:59:00.882157,Savings,App,5,super fast,positive
R0000255,2025-06-05 03:59:00.882157,Credit Card,Contact Center,5,love the app,positive
R0000256,2025-05-29 03:59:00.882157,Credit Card,App,1,issue unresolved,negative
R0000257,2025-07-30 03:59:00.882157,NetBanking,App,1,issue unresolved,negative
R0000258,2025-05-25 03:59:00.882157,Mobile App,App,5,transparent charges,positive
R0000259,2025-11-01 03:59:00.882157,Mortgage,Contact Center,1,app keeps crashing,negative
R0000260,2025-11-04 03:59:00.882157,Credit Card,Loans,2,bugs in app,negative
R0000261,2025-10-08 03:59:00.882157,Mortgage,App,3,okay service,neutral
R0000262,2025-10-16 03:59:00.882157,Credit Card,Loans,2,fees too high,negative
R0000263,2025-08-11 03:59:00.882157,Savings,Loans,5,transparent charges,positive
R0000264,2025-08-31 03:59:00.882157,Insurance,Contact Center,3,average experience,neutral
R0000265,2025-08-31 03:59:00.882157,Insurance,Loans,3,okay service,neutral
R0000266,2025-06-20 03:59:00.882157,Insurance,Contact Center,3,works fine,neutral
R0000267,2025-07-05 03:59:00.882157,Mobile App,App,4,good service,positive
R0000268,2025-06-15 03:59:00.882157,Mobile App,Branch,4,easy to use,positive
R0000269,2025-09-12 03:59:00.882157,Mortgage,Contact Center,3,could be better,neutral
R0000270,2025-11-10 03:59:00.882157,Mobile App,Branch,4,nice experience,positive
R0000271,2025-08-14 03:59:00.882157,Insurance,App,2,poor support,negative
R0000272,2025-06-20 03:59:00.882157,Mobile App,Branch,5,love the app,positive
R0000273,2025-06-15 03:59:00.882157,Insurance,Cards,5,love the app,positive
R0000274,2025-06-04 03:59:00.882157,Credit Card,Cards,5,problem solved quickly,positive
R0000275,2025-09-18 03:59:00.882157,NetBanking,App,1,terrible service,negative
R0000276,2025-05-26 03:59:00.882157,Insurance,Loans,2,poor support,negative
R0000277,2025-10-03 03:59:00.882157,Insurance,Loans,5,transparent charges,positive
R0000278,2025-08-28 03:59:00.882157,Savings,Contact Center,5,super fast,positive
R0000279,2025-10-26 03:59:00.882157,NetBanking,Cards,5,love the app,positive
R0000280,2025-10-10 03:59:00.882157,Savings,Contact Center,5,excellent service,positive
R0000281,2025-05-29 03:59:00.882157,Savings,App,4,quick approval,positive
R0000282,2025-07-23 03:59:00.882157,Savings,Branch,4,helpful staff,positive
R0000283,2025-07-22 03:59:00.882157,Insurance,Cards,2,slow response,negative
R0000284,2025-06-12 03:59:00.882157,Mortgage,Loans,2,bugs in app,negative
R0000285,2025-09-15 03:59:00.882157,Savings,Contact Center,5,excellent service,positive
R0000286,2025-08-08 03:59:00.882157,Mobile App,Branch,5,transparent charges,positive
R0000287,2025-08-26 03:59:00.882157,Mobile App,Loans,5,problem solved quickly,positive
R0000288,2025-08-08 03:59:00.882157,Mobile App,Loans,1,hidden fees,negative
R0000289,2025-05-22 03:59:00.882157,Insurance,App,3,okay service,neutral
R0000290,2025-08-08 03:59:00.882157,Credit Card,Loans,4,easy to use,positive
R0000291,2025-07-01 03:59:00.882157,NetBanking,Loans,5,transparent charges,positive
R0000292,2025-08-10 03:59:00.882157,NetBanking,Loans,1,app keeps crashing,negative
R0000293,2025-10-09 03:59:00.882157,Credit Card,Branch,1,long wait times,negative
R0000294,2025-06-25 03:59:00.882157,Savings,Branch,1,hidden fees,negative
R0000295,2025-07-17 03:59:00.882157,Mobile App,Loans,4,good service,positive
R0000296,2025-09-25 03:59:00.882157,NetBanking,App,3,could be better,neutral
R0000297,2025-09-23 03:59:00.882157,Savings,Loans,5,problem solved quickly,positive
R0000298,2025-07-25 03:59:00.882157,Insurance,Cards,5,problem solved quickly,positive
R0000299,2025-06-16 03:59:00.882157,Mobile App,Cards,3,works fine,neutral
R0000300,2025-09-27 03:59:00.882157,Savings,Contact Center,4,helpful staff,positive
R0000301,2025-10-04 03:59:00.882157,Mortgage,Cards,1,terrible service,negative
R0000302,2025-09-14 03:59:00.882157,Insurance,Contact Center,5,super fast,positive
R0000303,2025-11-03 03:59:00.882157,NetBanking,Contact Center,1,long wait times,negative
R0000304,2025-07-20 03:59:00.882157,NetBanking,Contact Center,3,works fine,neutral
R0000305,2025-08-03 03:59:00.882157,Insurance,Contact Center,5,excellent service,positive
R0000306,2025-07-25 03:59:00.882157,Insurance,Loans,5,love the app,positive
R0000307,2025-06-18 03:59:00.882157,Mortgage,Branch,5,love the app,positive
R0000308,2025-06-30 03:59:00.882157,NetBanking,Cards,2,bugs in app,negative
R0000309,2025-08-07 03:59:00.882157,Credit Card,Cards,3,okay service,neutral
R0000310,2025-08-29 03:59:00.882157,NetBanking,Cards,3,could be better,neutral
R0000311,2025-08-30 03:59:00.882157,Credit Card,Contact Center,1,long wait times,negative
R0000312,2025-08-26 03:59:00.882157,Mortgage,App,4,helpful staff,positive
R0000313,2025-10-22 03:59:00.882157,NetBanking,Branch,5,problem solved quickly,positive
R0000314,2025-09-18 03:59:00.882157,Credit Card,App,5,excellent service,positive
R0000315,2025-07-24 03:59:00.882157,Mortgage,App,5,excellent service,positive
R0000316,2025-10-02 03:59:00.882157,Savings,Cards,3,okay service,neutral
R0000317,2025-10-04 03:59:00.882157,Mortgage,App,5,love the app,positive
R0000318,2025-08-01 03:59:00.882157,Credit Card,Loans,3,works fine,neutral
R0000319,2025-10-16 03:59:00.882157,Mortgage,App,4,quick approval,positive
R0000320,2025-10-02 03:59:00.882157,Mortgage,App,4,helpful staff,positive
R0000321,2025-10-19 03:59:00.882157,Mobile App,Cards,3,neutral,neutral
R0000322,2025-09-13 03:59:00.882157,Mortgage,App,5,problem solved quickly,positive
R0000323,2025-08-26 03:59:00.882157,Credit Card,Contact Center,3,average experience,neutral
R0000324,2025-05-18 03:59:00.882157,Insurance,Branch,5,excellent service,positive
R0000325,2025-09-15 03:59:00.882157,Savings,Loans,5,love the app,positive
R0000326,2025-06-27 03:59:00.882157,Mortgage,Branch,2,bugs in app,negative
R0000327,2025-08-08 03:59:00.882157,Credit Card,Contact Center,3,okay service,neutral
R0000328,2025-07-20 03:59:00.882157,NetBanking,App,1,hidden fees,negative
R0000329,2025-11-01 03:59:00.882157,NetBanking,Cards,1,hidden fees,negative
R0000330,2025-08-10 03:59:00.882157,Credit Card,Branch,4,quick approval,positive
R0000331,2025-07-21 03:59:00.882157,Mobile App,App,5,super fast,positive
R0000332,2025-09-15 03:59:00.882157,NetBanking,Branch,5,excellent service,positive
R0000333,2025-07-09 03:59:00.882157,Credit Card,App,2,confusing process,negative
R0000334,2025-10-07 03:59:00.882157,Insurance,Cards,5,problem solved quickly,positive
R0000335,2025-08-18 03:59:00.882157,Credit Card,Contact Center,4,easy to use,positive
R0000336,2025-07-13 03:59:00.882157,Insurance,Branch,3,average experience,neutral
R0000337,2025-06-07 03:59:00.882157,NetBanking,Loans,3,okay service,neutral
R0000338,2025-06-30 03:59:00.882157,Savings,Contact Center,4,good service,positive
R0000339,2025-08-07 03:59:00.882157,Mortgage,Cards,2,bugs in app,negative
R0000340,2025-10-31 03:59:00.882157,Savings,Loans,3,average experience,neutral
R0000341,2025-05-31 03:59:00.882157,Mortgage,App,4,good service,positive
