tx_id,user_id,timestamp,amount,merchant_type,country,device,hour,is_international,label_fraud
T0000035,31777,2025-11-03 07:12:00.882157,35.64,fuel,US,mobile,8,1,0
T0000036,20627,2025-10-31 20:05:00.882157,10.77,fuel,IN,mobile,22,0,0
T0000037,18792,2025-10-20 23:43:00.882157,37.02,restaurants,IN,web,4,0,0
T0000038,18433,2025-11-05 23:18:00.882157,6.99,grocery,US,pos,8,1,1
T0000039,21016,2025-10-12 18:58:00.882157,71.46,grocery,DE,mobile,18,1,0
T0000040,33897,2025-11-02 07:20:00.882157,58.82,luxury,JP,mobile,10,1,0
T0000041,12612,2025-10-13 04:06:00.882157,12.92,restaurants,US,mobile,13,1,0
T0000042,33483,2025-10-14 05:54:00.882157,39.55,fuel,IN,mobile,13,0,0
T0000043,27159,2025-10-16 22:47:00.882157,29.58,fuel,DE,web,7,1,0
T0000044,24541,2025-10-28 06:40:00.882157,128.56,luxury,IN,mobile,23,0,0
T0000045,45920,2025-10-27 22:45:00.882157,9.17,electronics,IN,mobile,19,0,0
T0000046,36531,2025-10-29 00:41:00.882157,23.11,travel,JP,mobile,0,1,0
T0000047,11585,2025-10-17 10:15:00.882157,13.84,online_sub,IN,mobile,3,0,0
T0000048,13943,2025-10-21 13:08:00.882157,28.42,online_sub,IN,mobile,15,0,0
T0000049,33939,2025-11-07 01:59:00.882157,47.46,atm_withdrawal,US,web,0,1,0
T0000050,29457,2025-11-05 00:34:00.882157,13.68,luxury,IN,pos,18,0,0
T0000051,11021,2025-10-15 02:40:00.882157,18.5,restaurants,IN,mobile,23,0,0
T0000052,21653,2025-10-22 15:22:00.882157,74.76,atm_withdrawal,IN,web,2,0,0
T0000053,23417,2025-11-07 09:46:00.882157,112.75,online_sub,IN,pos,1,0,0
T0000054,19692,2025-10-22 08:09:00.882157,45.52,grocery,DE,mobile,16,1,0
T0000055,16873,2025-11-05 20:23:00.882157,23.46,restaurants,IN,mobile,10,0,0
T0000056,15675,2025-11-02 14:22:00.882157,21.23,atm_withdrawal,IN,mobile,2,0,0
T0000057,10161,2025-10-18 22:30:00.882157,48.21,restaurants,IN,web,6,0,0
T0000058,47065,2025-11-10 09:21:00.882157,34.44,atm_withdrawal,US,web,9,1,0
T0000059,36557,2025-11-02 11:33:00.882157,4.8,grocery,GB,mobile,2,1,0
T0000060,43763,2025-10-17 08:17:00.882157,49.45,electronics,IN,pos,7,0,0
T0000061,42606,2025-10-27 02:51:00.882157,10.98,luxury,IN,web,23,0,0
T0000062,21534,2025-10-19 10:16:00.882157,6.12,grocery,US,mobile,4,1,0
T0000063,39127,2025-10-18 02:11:00.882157,4.7,luxury,IN,pos,9,0,0
T0000064,35851,2025-10-18 15:49:00.882157,21.61,luxury,IN,mobile,11,0,0
T0000065,11016,2025-10-24 19:02:00.882157,9.32,atm_withdrawal,IN,web,17,0,0
T0000066,34253,2025-11-02 19:12:00.882157,2.36,restaurants,IN,mobile,5,0,0
T0000067,34276,2025-10-12 10:49:00.882157,18.61,fuel,DE,web,7,1,0
T0000068,33247,2025-10-28 03:52:00.882157,16.2,travel,SG,mobile,17,1,0
T0000069,34300,2025-10-23 19:01:00.882157,23.16,travel,AE,web,5,1,0
T0000070,18529,2025-10-29 12:55:00.882157,14.01,luxury,JP,mobile,22,1,0
T0000071,27262,2025-10-28 11:06:00.882157,185.08,travel,AE,web,8,1,0
T0000072,19268,2025-11-05 14:50:00.882157,46.67,travel,JP,mobile,15,1,0
T0000073,31271,2025-11-07 16:26:00.882157,16.05,online_sub,IN,mobile,10,0,0
T0000074,22185,2025-11-04 18:39:00.882157,25.36,restaurants,IN,mobile,1,0,0
T0000075,31243,2025-10-18 15:29:00.882157,119.75,online_sub,AE,mobile,16,1,1
T0000076,49099,2025-10-24 18:27:00.882157,74.03,fuel,US,web,12,1,0
T0000077,18571,2025-10-22 02:08:00.882157,6.26,electronics,IN,atm,6,0,0
T0000078,49976,2025-10-31 05:56:00.882157,9.75,restaurants,IN,pos,21,0,0
T0000079,48044,2025-10-28 01:22:00.882157,11.93,grocery,IN,pos,9,0,0
T0000080,12568,2025-10-19 10:10:00.882157,17.09,atm_withdrawal,IN,mobile,12,0,0
T0000081,12027,2025-10-25 06:39:00.882157,14.51,atm_withdrawal,IN,mobile,9,0,0
T0000082,12695,2025-10-21 21:19:00.882157,28.1,atm_withdrawal,IN,web,3,0,0
T0000083,15258,2025-11-03 08:07:00.882157,58.7,grocery,SG,atm,10,1,0
T0000084,32002,2025-10-30 12:32:00.882157,69.95,online_sub,AE,web,8,1,0
T0000085,49504,2025-10-30 04:33:00.882157,19.24,luxury,SG,mobile,15,1,0
T0000086,43159,2025-11-02 17:39:00.882157,4.87,travel,JP,mobile,16,1,0
T0000087,23986,2025-11-04 13:02:00.882157,9.09,fuel,IN,mobile,22,0,0
T0000088,22666,2025-10-20 20:10:00.882157,15.71,electronics,IN,mobile,4,0,0
T0000089,48660,2025-10-19 15:35:00.882157,7.34,online_sub,IN,web,4,0,0
T0000090,13561,2025-10-15 14:12:00.882157,89.83,luxury,DE,mobile,5,1,0
T0000091,36854,2025-10-18 17:22:00.882157,7.86,fuel,IN,pos,1,0,0
T0000092,48952,2025-10-14 13:22:00.882157,51.83,atm_withdrawal,AE,atm,13,1,0
T0000093,32662,2025-10-21 04:51:00.882157,4.64,luxury,IN,pos,10,0,0
T0000094,18392,2025-11-01 00:44:00.882157,54.06,fuel,DE,pos,18,1,0
T0000095,40535,2025-10-25 21:28:00.882157,23.42,online_sub,IN,mobile,10,0,0
T0000096,23067,2025-10-21 07:21:00.882157,132.71,fuel,SG,atm,19,1,0
T0000097,33599,2025-11-07 22:01:00.882157,8.26,restaurants,IN,mobile,5,0,0
T0000098,45222,2025-10-14 08:42:00.882157,14.99,travel,IN,pos,12,0,0
T0000099,21837,2025-11-03 04:38:00.882157,18.38,fuel,US,mobile,18,1,0
T0000100,24039,2025-10-26 14:32:00.882157,23.1,electronics,DE,mobile,2,1,0
T0000101,40818,2025-10-17 01:44:00.882157,18.85,fuel,IN,mobile,15,0,0
T0000102,29115,2025-10-13 02:02:00.882157,19.24,restaurants,DE,mobile,8,1,0
T0000103,20965,2025-11-01 19:55:00.882157,18.91,grocery,AE,atm,2,1,0
T0000104,34538,2025-11-06 03:32:00.882157,3.08,restaurants,SG,pos,18,1,0
T0000105,15056,2025-10-22 04:05:00.882157,76.94,fuel,IN,web,14,0,0
T0000106,42482,2025-10-26 14:04:00.882157,546.86,atm_withdrawal,IN,web,21,0,0
T0000107,18110,2025-10-12 18:28:00.882157,37.08,luxury,IN,web,12,0,0
T0000108,23773,2025-10-22 12:35:00.882157,8.23,atm_withdrawal,DE,mobile,16,1,1
T0000109,37266,2025-10-25 08:10:00.882157,9.15,atm_withdrawal,DE,pos,20,1,0
T0000110,27412,2025-10-23 00:13:00.882157,51.62,online_sub,AE,web,7,1,0
T0000111,43270,2025-11-02 12:18:00.882157,40.64,grocery,IN,web,21,0,0
T0000112,16910,2025-10-18 02:25:00.882157,20.12,online_sub,IN,atm,13,0,0
T0000113,35446,2025-11-04 10:11:00.882157,59.8,luxury,DE,mobile,8,1,0
T0000114,10206,2025-11-05 19:35:00.882157,3.1,electronics,IN,mobile,2,0,1
T0000115,31518,2025-10-30 16:15:00.882157,59.85,travel,SG,pos,8,1,1
T0000116,32361,2025-11-03 11:45:00.882157,34.8,electronics,IN,pos,23,0,0
T0000117,33419,2025-11-05 06:03:00.882157,9.53,grocery,IN,atm,11,0,0
T0000118,32403,2025-10-24 21:39:00.882157,6.02,luxury,SG,web,14,1,0
T0000119,28141,2025-10-22 03:01:00.882157,30.8,atm_withdrawal,IN,mobile,16,0,0
T0000120,24820,2025-11-09 17:57:00.882157,118.82,luxury,IN,mobile,8,0,0
T0000121,16374,2025-10-20 00:17:00.882157,21.34,atm_withdrawal,DE,mobile,23,1,0
T0000122,11678,2025-10-25 12:06:00.882157,11.07,travel,GB,web,7,1,0
T0000123,43827,2025-10-30 06:38:00.882157,33.14,fuel,AE,mobile,5,1,0
T0000124,26198,2025-11-07 20:15:00.882157,183.45,grocery,AE,web,8,1,0
T0000125,19914,2025-10-21 05:38:00.882157,42.64,travel,IN,pos,14,0,0
T0000126,37890,2025-10-19 10:52:00.882157,47.77,restaurants,IN,atm,23,0,0
T0000127,32299,2025-10-14 23:29:00.882157,97.9,restaurants,IN,mobile,17,0,0
T0000128,12693,2025-10-18 09:04:00.882157,44.53,online_sub,IN,mobile,21,0,0
T0000129,39467,2025-10-17 00:35:00.882157,11.94,atm_withdrawal,IN,pos,10,0,0
T0000130,39723,2025-10-30 07:12:00.882157,4.34,travel,AE,web,23,1,0
T0000131,13627,2025-10-27 19:46:00.882157,10.3,online_sub,IN,pos,13,0,0
T0000132,35939,2025-11-06 05:41:00.882157,8.5,restaurants,US,pos,12,1,0
T0000133,31834,2025-10-20 08:48:00.882157,54.18,restaurants,IN,mobile,12,0,0
T0000134,28047,2025-10-18 21:47:00.882157,62.69,online_sub,IN,mobile,21,0,0
T0000135,36105,2025-10-19 08:21:00.882157,32.6,luxury,IN,mobile,12,0,0
T0000136,20230,2025-10-29 13:26:00.882157,7.16,travel,SG,web,15,1,0
T0000137,25707,2025-10-18 22:35:00.882157,176.96,luxury,IN,mobile,11,0,0
T0000138,31976,2025-10-12 04:12:00.882157,17.51,restaurants,US,pos,20,1,0
T0000139,33776,2025-10-16 11:47:00.882157,51.09,luxury,GB,pos,23,1,0
T0000140,40080,2025-10-26 03:26:00.882157,28.55,atm_withdrawal,IN,mobile,17,0,0
T0000141,11306,2025-11-07 20:03:00.882157,33.75,electronics,IN,atm,11,0,1
T0000142,16776,2025-10-29 03:21:00.882157,49.23,electronics,JP,web,4,1,0
T0000143,37251,2025-11-07 20:19:00.882157,13.06,luxury,IN,pos,16,0,0
T0000144,19474,2025-11-05 00:07:00.882157,106.77,luxury,IN,mobile,20,0,0
T0000145,31959,2025-10-15 04:44:00.882157,5.16,atm_withdrawal,US,mobile,22,1,0
T0000146,15530,2025-11-10 06:28:00.882157,9.11,online_sub,US,mobile,0,1,0
T0000147,39320,2025-10-22 01:37:00.882157,105.33,luxury,IN,mobile,12,0,0
T0000148,13748,2025-11-04 05:45:00.882157,50.38,grocery,IN,mobile,9,0,0
T0000149,41968,2025-10-23 07:52:00.882157,390.49,travel,IN,pos,2,0,0
T0000150,42562,2025-10-27 18:21:00.882157,29.13,grocery,IN,mobile,5,0,0
T0000151,23545,2025-10-14 12:05:00.882157,161.65,electronics,IN,atm,15,0,0
T0000152,10663,2025-11-05 07:30:00.882157,3.86,grocery,IN,web,0,0,0
T0000153,44766,2025-10-30 23:52:00.882157,6.15,fuel,IN,mobile,18,0,0
T0000154,17994,2025-10-21 05:45:00.882157,69.43,fuel,JP,web,7,1,1
T0000155,38021,2025-10-18 12:58:00.882157,4.36,electronics,US,atm,8,1,0
T0000156,40303,2025-10-31 00:53:00.882157,22.04,grocery,JP,web,22,1,0
T0000157,13304,2025-11-04 20:01:00.882157,92.35,travel,IN,mobile,19,0,0
T0000158,49353,2025-11-09 18:41:00.882157,45.89,atm_withdrawal,IN,atm,22,0,0
T0000159,27675,2025-11-04 11:25:00.882157,27.43,electronics,IN,mobile,6,0,0
T0000160,33938,2025-10-27 19:56:00.882157,16.92,fuel,SG,web,10,1,0
T0000161,33664,2025-11-01 23:52:00.882157,33.53,electronics,IN,web,22,0,0
T0000162,11636,2025-10-19 13:23:00.882157,49.71,grocery,IN,mobile,7,0,0
T0000163,30080,2025-10-17 17:50:00.882157,13.55,grocery,IN,mobile,10,0,0
T0000164,37728,2025-10-28 21:06:00.882157,40.06,grocery,IN,pos,13,0,0
T0000165,36736,2025-11-06 02:23:00.882157,84.13,online_sub,IN,pos,13,0,0
T0000166,38673,2025-10-14 15:39:00.882157,21.46,grocery,IN,web,3,0,0
T0000167,47505,2025-11-10 13:39:00.882157,29.12,luxury,IN,mobile,19,0,0
T0000168,10854,2025-10-27 08:42:00.882157,45.06,fuel,GB,mobile,8,1,0
T0000169,34548,2025-10-21 14:22:00.882157,48.37,restaurants,IN,mobile,7,0,0
T0000170,48623,2025-10-12 20:01:00.882157,68.2,fuel,US,web,14,1,0
T0000171,17392,2025-10-30 10:55:00.882157,9.35,online_sub,IN,mobile,19,0,0
T0000172,31556,2025-10-31 22:02:00.882157,15.56,fuel,IN,mobile,5,0,0
T0000173,48559,2025-10-18 01:00:00.882157,16.18,fuel,IN,mobile,15,0,0
T0000174,36309,2025-10-24 12:03:00.882157,10.49,electronics,IN,web,15,0,0
T0000175,31919,2025-11-07 02:59:00.882157,4.1,restaurants,IN,pos,13,0,0
T0000176,14931,2025-10-31 07:19:00.882157,0.89,restaurants,IN,web,14,0,0
T0000177,42970,2025-10-12 07:48:00.882157,95.13,grocery,US,web,21,1,0
T0000178,22688,2025-11-09 15:57:00.882157,5.3,luxury,IN,mobile,20,0,1
T0000179,35342,2025-11-03 11:45:00.882157,140.45,luxury,IN,web,11,0,0
T0000180,47157,2025-10-23 17:27:00.882157,58.93,electronics,IN,web,22,0,0
T0000181,12327,2025-10-26 01:20:00.882157,17.71,luxury,IN,web,17,0,0
T0000182,10197,2025-10-17 13:05:00.882157,51.79,electronics,IN,mobile,23,0,0
T0000183,33509,2025-11-05 04:54:00.882157,42.37,restaurants,DE,web,10,1,0
T0000184,44698,2025-10-23 19:46:00.882157,8.53,restaurants,IN,pos,6,0,0
T0000185,25087,2025-11-07 22:46:00.882157,26.69,atm_withdrawal,IN,web,5,0,0
T0000186,32671,2025-10-15 03:15:00.882157,9.69,restaurants,US,web,2,1,0
T0000187,35184,2025-10-16 02:26:00.882157,53.88,luxury,US,pos,8,1,0
T0000188,37848,2025-11-08 04:00:00.882157,12.79,fuel,DE,mobile,14,1,0
T0000189,30666,2025-10-16 23:06:00.882157,24.5,restaurants,SG,web,1,1,0
T0000190,25708,2025-10-19 01:48:00.882157,23.41,atm_withdrawal,SG,atm,3,1,0
T0000191,36370,2025-11-06 18:22:00.882157,30.8,travel,DE,mobile,1,1,0
T0000192,12811,2025-10-22 04:03:00.882157,155.35,grocery,IN,mobile,5,0,0
T0000193,16546,2025-10-21 21:29:00.882157,21.05,travel,US,web,11,1,0
T0000194,44754,2025-11-05 06:16:00.882157,97.4,fuel,JP,mobile,6,1,0
T0000195,40206,2025-11-07 09:54:00.882157,44.88,online_sub,US,web,8,1,0
T0000196,21411,2025-10-19 14:26:00.882157,120.22,electronics,DE,mobile,5,1,0
T0000197,12911,2025-10-14 18:01:00.882157,19.0,atm_withdrawal,IN,web,21,0,0
T0000198,11734,2025-10-27 10:30:00.882157,56.31,luxury,IN,web,4,0,0
T0000199,28227,2025-11-07 11:03:00.882157,25.48,luxury,DE,mobile,3,1,0
T0000200,18680,2025-11-01 15:11:00.882157,1.17,fuel,IN,mobile,9,0,0
T0000201,29360,2025-10-24 06:30:00.882157,8.63,luxury,AE,mobile,19,1,0
T0000202,28343,2025-10-19 01:14:00.882157,49.97,fuel,IN,mobile,3,0,0
T0000203,15759,2025-10-13 12:56:00.882157,46.62,atm_withdrawal,GB,web,4,1,1
T0000204,33078,2025-10-15 23:35:00.882157,6.96,travel,DE,mobile,16,1,0
T0000205,45153,2025-10-22 12:32:00.882157,34.17,online_sub,IN,pos,17,0,0
T0000206,21111,2025-10-21 20:21:00.882157,45.99,electronics,IN,web,2,0,0
T0000207,47504,2025-10-13 13:44:00.882157,26.14,luxury,IN,mobile,22,0,0
T0000208,11802,2025-10-14 22:02:00.882157,58.28,online_sub,JP,mobile,12,1,0
T0000209,18155,2025-11-09 08:40:00.882157,50.51,online_sub,GB,mobile,0,1,1
T0000210,18120,2025-10-23 04:40:00.882157,26.13,online_sub,IN,web,18,0,0
T0000211,49384,2025-10-27 12:48:00.882157,15.86,grocery,IN,mobile,22,0,0
T0000212,31918,2025-10-12 11:11:00.882157,81.02,online_sub,SG,mobile,21,1,0
T0000213,30445,2025-10-16 07:52:00.882157,44.09,restaurants,SG,mobile,1,1,0
T0000214,40306,2025-10-26 16:08:00.882157,6.36,fuel,IN,atm,3,0,0
T0000215,26646,2025-10-18 15:04:00.882157,34.19,grocery,IN,web,15,0,0
T0000216,41065,2025-11-03 16:52:00.882157,8.1,restaurants,AE,pos,15,1,0
T0000217,35199,2025-10-29 03:34:00.882157,9.85,grocery,IN,mobile,16,0,0
T0000218,26371,2025-10-23 17:22:00.882157,13.67,online_sub,DE,mobile,20,1,0
T0000219,21835,2025-10-30 13:09:00.882157,28.42,luxury,IN,mobile,11,0,0
T0000220,12049,2025-10-25 20:22:00.882157,40.17,luxury,GB,atm,1,1,0
T0000221,41616,2025-10-14 13:46:00.882157,17.65,luxury,IN,mobile,23,0,0
T0000222,48191,2025-11-01 04:55:00.882157,18.48,luxury,DE,mobile,9,1,0
T0000223,30932,2025-11-06 07:57:00.882157,15.98,fuel,IN,mobile,5,0,0
T0000224,39855,2025-10-24 15:34:00.882157,81.44,atm_withdrawal,IN,web,11,0,0
T0000225,17158,2025-10-23 05:06:00.882157,1.36,luxury,IN,mobile,11,0,0
T0000226,17400,2025-11-05 07:03:00.882157,19.61,electronics,SG,web,16,1,1
T0000227,25151,2025-11-03 05:22:00.882157,137.31,online_sub,IN,atm,17,0,0
T0000228,11154,2025-10-14 14:14:00.882157,46.67,grocery,IN,mobile,3,0,0
T0000229,14499,2025-11-08 12:29:00.882157,102.53,electronics,IN,web,2,0,0
T0000230,16295,2025-10-17 23:17:00.882157,3.2,luxury,IN,web,16,0,0
T0000231,22183,2025-10-12 20:40:00.882157,7.36,electronics,IN,pos,22,0,0
T0000232,39299,2025-10-23 17:57:00.882157,46.51,grocery,IN,mobile,8,0,0
T0000233,22874,2025-10-29 12:21:00.882157,138.13,luxury,US,mobile,21,1,0
T0000234,42711,2025-11-03 07:35:00.882157,8.18,electronics,GB,pos,11,1,0
T0000235,15539,2025-10-12 08:04:00.882157,18.04,fuel,SG,mobile,6,1,0
T0000236,12557,2025-10-23 15:58:00.882157,41.33,fuel,JP,pos,15,1,0
T0000237,48360,2025-10-23 13:07:00.882157,5.9,online_sub,IN,web,7,0,0
T0000238,26482,2025-10-26 09:12:00.882157,46.89,atm_withdrawal,AE,web,2,1,0
T0000239,12200,2025-10-31 06:04:00.882157,1.63,online_sub,IN,mobile,20,0,0
T0000240,12961,2025-10-20 11:54:00.882157,45.46,restaurants,IN,web,12,0,0
T0000241,31357,2025-11-06 03:39:00.882157,9.54,electronics,IN,web,19,0,0
T0000242,21969,2025-10-27 21:20:00.882157,16.95,grocery,IN,web,8,0,0
T0000243,12869,2025-11-04 13:55:00.882157,53.76,fuel,IN,mobile,8,0,0
T0000244,38643,2025-11-07 18:30:00.882157,43.36,travel,IN,atm,3,0,0
T0000245,34736,2025-10-23 22:56:00.882157,26.89,atm_withdrawal,US,mobile,13,1,0
T0000246,48467,2025-11-04 08:22:00.882157,75.0,online_sub,IN,mobile,17,0,1
T0000247,33328,2025-10-22 08:59:00.882157,4.55,restaurants,US,atm,0,1,0
T0000248,35876,2025-11-05 08:19:00.882157,33.6,fuel,IN,web,18,0,0
T0000249,31295,2025-10-14 02:04:00.882157,11.83,restaurants,IN,mobile,1,0,0
T0000250,13987,2025-11-08 17:34:00.882157,71.09,luxury,IN,atm,4,0,1
T0000251,32399,2025-11-08 22:19:00.882157,55.78,electronics,IN,mobile,21,0,0
T0000252,43986,2025-11-01 00:40:00.882157,57.95,restaurants,IN,mobile,13,0,0
T0000253,30880,2025-10-31 12:58:00.882157,152.57,atm_withdrawal,US,web,8,1,0
T0000254,14735,2025-10-30 07:12:00.882157,88.47,fuel,SG,mobile,19,1,0
T0000255,14555,2025-10-31 04:46:00.882157,22.98,fuel,IN,pos,19,0,0
T0000256,29830,2025-11-04 11:58:00.882157,27.08,electronics,IN,pos,14,0,0
T0000257,27429,2025-11-10 14:00:00.882157,50.96,online_sub,SG,mobile,19,1,0
T0000258,16893,2025-10-29 00:10:00.882157,31.28,online_sub,IN,pos,0,0,0
T0000259,24373,2025-11-10 19:06:00.882157,56.85,travel,IN,mobile,18,0,0
T0000260,13436,2025-11-02 07:19:00.882157,2.61,atm_withdrawal,IN,web,3,0,0
T0000261,18754,2025-10-20 08:19:00.882157,195.36,travel,US,atm,13,1,0
T0000262,20677,2025-11-01 06:37:00.882157,28.91,online_sub,US,pos,0,1,0
T0000263,15895,2025-10-12 07:26:00.882157,4.94,online_sub,GB,mobile,4,1,1
T0000264,29738,2025-11-10 05:38:00.882157,10.39,atm_withdrawal,IN,mobile,9,0,0
T0000265,40746,2025-10-18 06:50:00.882157,2.9,restaurants,IN,mobile,8,0,0
T0000266,42352,2025-10-23 06:47:00.882157,8.63,atm_withdrawal,IN,web,16,0,0
T0000267,49790,2025-10-28 05:20:00.882157,23.35,online_sub,AE,web,13,1,0
T0000268,15600,2025-10-26 01:27:00.882157,133.01,online_sub,JP,mobile,6,1,0
T0000269,39124,2025-11-08 17:02:00.882157,41.73,fuel,IN,mobile,17,0,0
T0000270,37643,2025-10-26 15:35:00.882157,34.62,travel,IN,pos,9,0,0
T0000271,19007,2025-10-25 21:46:00.882157,8.23,electronics,IN,mobile,3,0,0
T0000272,47410,2025-10-18 22:39:00.882157,11.41,atm_withdrawal,IN,mobile,13,0,0
T0000273,18208,2025-10-30 12:53:00.882157,12.38,grocery,IN,atm,2,0,0
T0000274,28589,2025-11-09 00:40:00.882157,12.92,electronics,IN,mobile,22,0,0
T0000275,27453,2025-10-18 10:48:00.882157,18.74,atm_withdrawal,DE,pos,21,1,0
T0000276,46212,2025-10-20 13:28:00.882157,20.29,luxury,IN,mobile,10,0,0
T0000277,42635,2025-10-17 19:44:00.882157,18.99,atm_withdrawal,IN,mobile,9,0,0
T0000278,43828,2025-11-10 17:31:00.882157,13.4,grocery,IN,web,7,0,0
T0000279,28711,2025-10-18 06:22:00.882157,31.24,fuel,IN,web,8,0,0
T0000280,13420,2025-10-22 05:41:00.882157,19.49,luxury,IN,web,22,0,1
T0000281,41216,2025-11-05 23:22:00.882157,5.08,travel,AE,mobile,5,1,0
T0000282,10301,2025-10-20 05:01:00.882157,28.11,grocery,IN,web,13,0,0
T0000283,10699,2025-10-19 14:41:00.882157,23.98,online_sub,DE,web,23,1,1
T0000284,10190,2025-10-24 23:48:00.882157,5.16,luxury,IN,mobile,8,0,0
T0000285,20492,2025-10-27 19:07:00.882157,14.57,fuel,IN,atm,13,0,0
T0000286,45743,2025-10-23 13:16:00.882157,50.75,atm_withdrawal,IN,pos,7,0,0
T0000287,16102,2025-10-17 10:27:00.882157,8.22,atm_withdrawal,GB,pos,5,1,0
T0000288,29778,2025-10-12 05:39:00.882157,7.36,grocery,IN,web,23,0,0
T0000289,36641,2025-10-17 03:31:00.882157,19.28,online_sub,IN,mobile,5,0,0
T0000290,44584,2025-11-08 20:44:00.882157,52.15,luxury,IN,web,21,0,0
T0000291,42745,2025-10-13 20:23:00.882157,181.43,fuel,JP,pos,1,1,0
T0000292,33093,2025-10-20 06:11:00.882157,54.16,atm_withdrawal,IN,mobile,23,0,0
T0000293,10569,2025-10-21 19:06:00.882157,84.7,luxury,IN,web,4,0,0
T0000294,48210,2025-11-08 12:56:00.882157,39.02,grocery,IN,mobile,2,0,0
T0000295,44663,2025-10-25 01:39:00.882157,13.21,online_sub,IN,mobile,10,0,0
T0000296,46631,2025-10-30 09:03:00.882157,53.75,travel,IN,mobile,6,0,0
T0000297,17455,2025-10-26 00:25:00.882157,24.78,restaurants,IN,atm,8,0,0
T0000298,14014,2025-11-09 18:41:00.882157,40.28,fuel,GB,web,12,1,0
T0000299,21093,2025-10-24 03:44:00.882157,10.04,grocery,IN,mobile,15,0,0
T0000300,28070,2025-10-17 06:55:00.882157,44.25,atm_withdrawal,AE,web,22,1,0
T0000301,45777,2025-11-04 02:40:00.882157,23.89,online_sub,GB,mobile,11,1,0
T0000302,26538,2025-10-27 03:10:00.882157,34.56,travel,IN,web,7,0,0
T0000303,20729,2025-11-02 00:34:00.882157,24.8,luxury,US,pos,13,1,0
T0000304,44177,2025-10-13 06:52:00.882157,20.27,online_sub,AE,web,13,1,0
T0000305,10784,2025-10-22 05:15:00.882157,45.1,restaurants,US,web,4,1,0
T0000306,37751,2025-10-23 19:43:00.882157,17.7,travel,US,mobile,9,1,0
T0000307,22533,2025-10-22 11:21:00.882157,5.11,grocery,AE,web,21,1,0
T0000308,49974,2025-10-14 15:44:00.882157,3.79,atm_withdrawal,IN,web,23,0,0
